推力,,电机1,电机2,电机3,电机4,陀螺仪：,方差1,方差2,方差3,,主频1,主频2,主频3,,加速度计：,方差1,方差2,方差3,,主频1,主频2,主频3,
0.30399999999999999,,786,783,854,840,,8.6999999999999993,9,,,24,36,,,,9,1.2,9,,25,32,38,
0.30499999999999999,,783,781,863,843,,9,9,,,29,41,,,,1.5,3.1,9,,27,33,42,
0.30599999999999999,,788,782,858,850,,9,9,9,,24,38,49,,,4.4000000000000004,6.1,9,,24,31,39,
0.307,,781,770,871,864,,5.2,9,9,,22,30,42,,,6.3,1.8,9,,23,30,42,
0.308,,775,770,883,866,,9,9,,,23,44,,,,9,9,,,23,43,,
0.309,,777,773,885,866,,9,9,,,24,43,,,,9,9,,,25,43,,
0.31,,775,775,890,871,,0.5,9,9,,22,25,46,,,9,2.9,9,,24,30,46,
pitch-2度,,595,558,644,582,,0.5,1.6,0.9,,38,50,56,,,0.4,0.3,0.5,,38,51,56,
pitch-4,,615,542,656,565,,0.1,0.3,0.2,2.1,37,46,55,61,,0.1,0.2,0.2,0.2,37,46,55,61
pitch-6,,631,525,672,549,,1.4,0.4,0.5,2.2999999999999998,34,43,60,65,,0.1,0.4,0.5,1,34,43,60,65
pitch-8,,647,504,689,535,,2.6,1.5,0.6,2.1,31,41,64,71,,0.7,0.9,0.6,0.7,31,41,64,71
pitch-10,,661,488,709,514,,2.2000000000000002,4.8,1.7,4.5,28,38,70,74,,0.5,0.2,0.9,1.8,28,38,70,74
pitch-12,,674,467,729,500,,3.1,1.7,1.9,4,24,36,73,79,,1.3,0.2,1.7,3,24,36,73,79
pitch-14,,699,450,734,485,,1.5,1.7,6.2,2.9,24,32,76,83,,0.8,0.7,7,9,24,32,76,83
pitch-16,,722,433,743,466,,2,3.1,1.3,,24,82,87,,,9,3.6,1.1000000000000001,,25,82,87,
pitch-18,,745,410,768,435,,0.1,0.5,0.8,1.4,18,25,89,95,,1.4,1.9,1.2,1.5,18,25,89,95
pitch-20,,763,383,782,425,,2.6,2,1.5,0.6,16,22,92,97,,0.8,0.6,1.4,2.2000000000000002,16,0.6,1.1000000000000001,2.2000000000000002
pitch-22,,782,368,795,402,,2.5,3,4.0999999999999996,,18,92,96,,,0.4,0.5,3.2,,18,91,95,
pitch-24,,798,354,804,387,,1.7,1.9,3.2,9,13,50,86,98,,5.4,9,9,9,14,45,88,95
pitch-26,,814,344,824,357,,2.6,2.4,3.7,8.6,12,50,83,91,,6.5,9,9,9,12,38,86,91
pitch-28,,825,306,854,345,,2.9,5,6.2,3.3,16,50,77,88,,9,9,9,2.9,12,35,77,88
pitch-30,,843,267,868,343,,1.2,0.6,7.1,7.7,10,50,70,87,,9,7.7,7.3,,27,70,88,
pitch2度,,553,592,609,624,,8.5,2.2000000000000002,2.2999999999999998,,73,78,86,,,9,7,9,,73,78,87,
